state,slope_deg,rainfall_24h_mm,rainfall_72h_mm,elevation_m,soil_moisture_pct,pore_pressure_kpa,insar_deformation_mm_yr,lithology_factor,vibration_g,risk_score,risk_class,risk_tier
Arunachal Pradesh,29.1,281.8,787.3,399.0,74.8,44.3,49.6,1.76,0.175,69.9,1,MODERATE
Arunachal Pradesh,52.2,83.0,198.0,2924.0,45.4,8.1,41.2,1.88,0.189,53.8,1,MODERATE
Meghalaya,25.5,416.2,901.9,1469.0,92.6,56.7,43.7,2.25,0.193,85.7,2,HIGH
Sikkim,52.8,223.2,594.3,2996.0,66.8,33.9,55.3,2.28,0.225,82.2,2,HIGH
Arunachal Pradesh,36.3,314.8,558.7,582.0,78.2,42.3,12.9,1.79,0.235,67.9,1,MODERATE
Sikkim,45.6,250.5,653.9,2688.0,66.9,32.0,30.3,2.32,0.233,69.1,1,MODERATE
Arunachal Pradesh,28.3,108.4,313.6,507.0,44.2,16.4,8.7,1.73,0.114,33.9,0,LOW
Arunachal Pradesh,52.6,136.2,276.0,2024.0,54.7,17.8,15.9,2.02,0.179,54.1,1,MODERATE
Meghalaya,45.2,509.2,1088.5,1494.0,98.0,72.0,52.2,2.23,0.324,99.0,2,HIGH
Arunachal Pradesh,25.4,257.2,501.4,646.0,62.6,26.3,57.8,1.9,0.156,63.8,1,MODERATE
Sikkim,41.1,341.9,688.7,2325.0,82.3,47.7,47.4,2.49,0.285,90.2,2,HIGH
Meghalaya,29.0,316.6,534.8,1420.0,72.2,38.3,14.5,2.26,0.191,62.8,1,MODERATE
Arunachal Pradesh,53.6,163.9,383.9,788.0,64.1,28.6,23.0,1.93,0.212,63.6,1,MODERATE
Arunachal Pradesh,51.6,375.9,910.1,3088.0,78.2,41.0,22.8,1.99,0.281,82.0,2,HIGH
Arunachal Pradesh,54.5,313.4,616.8,1339.0,67.5,33.4,48.4,1.92,0.226,76.8,2,HIGH
Arunachal Pradesh,50.2,66.1,217.1,2884.0,39.2,13.6,6.2,1.81,0.211,43.5,1,MODERATE
Sikkim,35.7,281.6,579.7,2821.0,74.1,42.2,50.8,2.41,0.203,79.4,2,HIGH
Arunachal Pradesh,43.3,252.8,672.0,233.0,68.9,36.0,50.5,1.77,0.209,73.0,2,HIGH
Arunachal Pradesh,42.1,32.1,114.1,448.0,29.5,6.9,25.6,1.82,0.163,34.7,0,LOW
Sikkim,45.9,400.2,859.4,1443.0,79.9,45.4,43.2,2.54,0.276,84.0,2,HIGH
Arunachal Pradesh,28.5,42.4,147.3,2265.0,30.6,5.0,48.4,2.02,0.084,42.6,1,MODERATE
Arunachal Pradesh,28.4,129.8,405.9,2570.0,51.2,23.1,9.6,2.08,0.148,46.4,1,MODERATE
Meghalaya,38.1,386.9,1029.1,936.0,89.7,59.7,10.3,2.23,0.222,95.1,2,HIGH
Arunachal Pradesh,38.9,305.3,759.7,1565.0,83.7,51.8,39.5,1.85,0.202,83.4,2,HIGH
Sikkim,48.1,162.6,407.1,1768.0,59.8,24.8,37.7,2.55,0.167,65.9,1,MODERATE
Sikkim,42.0,416.2,605.8,1891.0,95.3,65.5,32.3,2.24,0.27,92.8,2,HIGH
Meghalaya,18.9,207.9,405.5,604.0,58.8,24.0,19.7,2.27,0.156,48.0,1,MODERATE
Arunachal Pradesh,44.8,344.9,1022.4,395.0,87.8,55.4,33.0,1.75,0.244,76.5,2,HIGH
Meghalaya,21.5,433.2,832.8,1560.0,95.8,66.6,34.0,2.06,0.207,86.7,2,HIGH
Sikkim,30.9,379.0,1029.1,1904.0,86.4,49.1,10.3,2.54,0.222,95.2,2,HIGH
Sikkim,32.3,189.3,392.0,2502.0,53.3,18.8,19.4,2.47,0.094,48.5,1,MODERATE
Meghalaya,46.7,322.8,799.2,1424.0,78.1,48.8,50.1,2.06,0.235,78.0,2,HIGH
Meghalaya,39.4,380.5,924.9,506.0,84.2,48.9,36.2,2.06,0.254,81.4,2,HIGH
Meghalaya,24.1,122.4,218.6,1028.0,45.6,10.7,2.4,2.33,0.113,34.0,0,LOW
Sikkim,44.1,405.6,816.2,2878.0,85.1,53.1,37.9,2.23,0.229,91.5,2,HIGH
Sikkim,52.2,416.2,1017.7,2366.0,84.2,55.6,27.1,2.35,0.278,90.4,2,HIGH
Sikkim,41.6,136.7,422.1,2012.0,53.1,17.1,51.9,2.23,0.192,64.2,1,MODERATE
Sikkim,52.6,405.7,646.9,2837.0,83.0,54.4,33.4,2.49,0.271,91.6,2,HIGH
Meghalaya,37.8,215.3,605.1,1559.0,63.8,27.3,37.7,2.31,0.195,65.4,1,MODERATE
Sikkim,50.7,144.7,465.1,1534.0,59.4,28.4,33.1,2.29,0.204,58.2,1,MODERATE
Meghalaya,24.4,442.7,854.0,315.0,90.8,58.6,24.1,2.24,0.249,94.3,2,HIGH
Arunachal Pradesh,55.0,279.4,704.3,508.0,70.0,34.4,38.3,1.84,0.252,71.5,2,HIGH
Meghalaya,27.3,37.6,94.6,473.0,42.7,13.5,38.8,2.08,0.129,43.2,1,MODERATE
Arunachal Pradesh,44.6,240.1,573.0,3006.0,65.6,31.2,59.5,1.89,0.225,78.9,2,HIGH
Arunachal Pradesh,52.0,180.1,461.3,2395.0,54.1,18.0,59.1,2.09,0.189,66.0,1,MODERATE
Sikkim,41.3,47.0,87.9,2376.0,38.5,5.0,33.7,2.23,0.111,42.0,1,MODERATE
Arunachal Pradesh,26.0,109.1,294.1,2382.0,44.5,17.3,23.3,1.85,0.126,43.3,1,MODERATE
Arunachal Pradesh,48.9,192.6,578.3,1465.0,62.5,21.9,61.1,1.95,0.234,72.3,2,HIGH
Sikkim,50.2,188.1,476.0,1871.0,47.4,15.6,22.3,2.24,0.24,52.5,1,MODERATE
Sikkim,39.3,261.3,462.9,2945.0,68.9,29.3,24.9,2.51,0.174,64.7,1,MODERATE
Sikkim,41.5,159.0,379.5,1462.0,61.9,22.4,57.3,2.3,0.151,59.2,1,MODERATE
Sikkim,49.1,288.9,665.5,2650.0,75.9,41.6,25.2,2.31,0.24,71.3,2,HIGH
Arunachal Pradesh,26.3,59.6,196.5,1148.0,37.1,8.5,12.9,2.09,0.108,34.2,0,LOW
Meghalaya,35.3,154.7,363.6,992.0,49.5,17.5,10.7,2.29,0.151,44.8,1,MODERATE
Sikkim,34.6,300.1,848.5,2430.0,85.4,52.8,53.2,2.43,0.229,83.8,2,HIGH
Sikkim,54.5,352.5,873.0,1827.0,83.2,46.8,40.8,2.6,0.267,88.8,2,HIGH
Sikkim,49.2,372.6,765.4,2402.0,84.9,54.4,60.1,2.53,0.27,89.7,2,HIGH
Meghalaya,26.5,354.0,847.3,795.0,90.5,63.5,27.1,2.18,0.205,86.0,2,HIGH
Arunachal Pradesh,45.4,184.2,426.2,1757.0,54.8,19.9,33.0,1.86,0.215,66.6,1,MODERATE
Sikkim,40.3,244.3,657.5,2138.0,65.6,33.5,60.6,2.58,0.178,80.0,2,HIGH
Meghalaya,31.8,123.1,254.2,980.0,49.4,16.5,26.5,2.23,0.146,45.2,1,MODERATE
Arunachal Pradesh,34.0,165.9,283.3,2243.0,52.9,14.5,42.6,1.74,0.128,53.6,1,MODERATE
Arunachal Pradesh,51.6,215.8,369.6,3054.0,64.1,29.4,51.9,1.79,0.231,65.5,1,MODERATE
Arunachal Pradesh,36.9,345.7,905.5,967.0,85.9,50.9,50.1,1.97,0.239,82.4,2,HIGH
Arunachal Pradesh,39.9,229.1,436.2,2788.0,61.0,24.9,6.3,1.96,0.215,61.9,1,MODERATE
Arunachal Pradesh,33.5,245.7,384.0,1024.0,69.5,36.4,28.5,1.88,0.206,59.0,1,MODERATE
Arunachal Pradesh,36.1,345.5,886.0,2136.0,74.8,44.3,24.4,1.84,0.205,76.5,2,HIGH
Arunachal Pradesh,47.1,40.5,122.0,1978.0,31.9,8.3,29.2,1.78,0.148,39.6,0,LOW
Arunachal Pradesh,43.4,281.7,592.0,1887.0,65.9,31.9,39.7,1.88,0.208,73.3,2,HIGH
Sikkim,54.1,121.5,258.7,2986.0,47.5,16.9,51.8,2.41,0.181,64.2,1,MODERATE
Sikkim,52.5,267.3,585.1,1314.0,67.0,29.9,35.7,2.34,0.242,68.0,1,MODERATE
Sikkim,40.3,204.4,504.1,2855.0,61.1,25.3,60.0,2.57,0.191,69.8,1,MODERATE
Sikkim,47.5,237.7,592.7,1582.0,62.8,29.9,16.2,2.29,0.22,65.2,1,MODERATE
Arunachal Pradesh,52.1,63.4,239.8,1661.0,46.1,15.3,14.3,1.9,0.15,43.9,1,MODERATE
Meghalaya,19.3,273.5,602.9,404.0,67.5,32.5,29.3,2.37,0.152,61.1,1,MODERATE
Sikkim,46.7,114.3,314.6,1474.0,44.5,12.5,59.7,2.22,0.163,58.3,1,MODERATE
Meghalaya,42.4,160.7,323.3,1103.0,47.4,16.4,12.7,2.09,0.189,45.8,1,MODERATE
Arunachal Pradesh,39.1,62.7,207.1,784.0,35.3,5.0,48.9,1.99,0.127,37.1,0,LOW
Arunachal Pradesh,51.1,227.5,558.6,2057.0,67.1,29.7,45.9,1.73,0.221,67.6,1,MODERATE
Meghalaya,34.2,260.8,690.3,935.0,67.3,28.7,35.9,2.19,0.165,58.5,1,MODERATE
Arunachal Pradesh,37.9,364.0,594.6,2176.0,78.2,42.5,54.3,1.8,0.248,81.4,2,HIGH
Sikkim,47.1,379.1,921.6,1320.0,80.8,47.1,58.0,2.47,0.257,91.0,2,HIGH
Sikkim,30.3,403.0,1015.1,1734.0,94.4,64.0,42.4,2.27,0.254,87.2,2,HIGH
Arunachal Pradesh,27.7,202.9,604.0,884.0,60.5,24.5,55.9,1.89,0.151,61.7,1,MODERATE
Sikkim,55.5,264.7,648.9,2661.0,65.4,30.6,42.7,2.29,0.226,68.9,1,MODERATE
Arunachal Pradesh,45.2,359.2,642.5,792.0,80.4,48.8,35.8,2.04,0.27,77.3,2,HIGH
Meghalaya,49.2,416.5,931.1,370.0,94.3,63.5,26.4,2.29,0.288,86.6,2,HIGH
Arunachal Pradesh,32.0,199.6,575.8,1827.0,61.6,33.6,20.8,1.93,0.182,54.8,1,MODERATE
Sikkim,52.8,199.2,372.8,2661.0,59.7,25.1,22.5,2.28,0.225,66.1,1,MODERATE
Meghalaya,34.4,408.5,947.4,762.0,90.3,64.2,2.2,2.3,0.213,71.0,2,HIGH
Sikkim,51.9,213.4,467.5,1894.0,65.3,31.3,26.1,2.47,0.213,63.3,1,MODERATE
Meghalaya,35.6,274.9,646.6,1054.0,77.4,48.3,29.8,2.27,0.188,71.7,2,HIGH
Sikkim,43.0,60.1,122.4,2613.0,42.2,13.3,34.9,2.38,0.139,45.3,1,MODERATE
Sikkim,36.1,174.9,326.2,2580.0,50.5,19.9,17.0,2.46,0.142,51.5,1,MODERATE
Sikkim,40.7,357.5,742.7,2258.0,78.5,40.7,30.7,2.21,0.23,78.8,2,HIGH
Meghalaya,47.5,434.8,712.5,593.0,85.7,46.8,34.8,2.37,0.302,94.0,2,HIGH
Sikkim,42.9,200.4,548.7,1486.0,56.3,22.1,60.6,2.58,0.175,66.6,1,MODERATE
Sikkim,37.2,337.0,967.7,1972.0,79.7,47.6,16.1,2.54,0.228,70.8,2,HIGH
Sikkim,33.6,237.6,503.8,2820.0,64.0,29.6,56.7,2.22,0.152,65.5,1,MODERATE
Meghalaya,32.3,539.2,925.0,549.0,98.0,68.5,45.6,2.39,0.268,99.0,2,HIGH
Arunachal Pradesh,43.5,206.0,391.8,2368.0,59.2,22.6,33.8,1.73,0.176,48.6,1,MODERATE
Meghalaya,19.9,372.0,650.2,1421.0,87.2,54.7,15.4,2.31,0.188,95.7,2,HIGH
Sikkim,50.4,108.5,212.8,1794.0,45.6,18.2,18.7,2.55,0.176,47.6,1,MODERATE
Arunachal Pradesh,49.8,218.7,491.9,1231.0,58.4,18.4,57.1,1.88,0.201,68.1,1,MODERATE
Meghalaya,48.8,128.0,303.1,1331.0,56.1,24.3,38.7,2.16,0.186,62.2,1,MODERATE
Arunachal Pradesh,39.8,218.6,409.8,1289.0,70.4,35.2,6.8,1.85,0.208,57.5,1,MODERATE
Meghalaya,30.4,346.1,596.8,1345.0,79.1,44.8,21.2,2.39,0.234,75.6,2,HIGH
Arunachal Pradesh,57.3,254.5,460.6,479.0,62.8,23.2,66.0,1.82,0.254,80.6,2,HIGH
Meghalaya,27.5,281.9,755.1,526.0,75.7,42.3,6.6,2.1,0.175,54.7,1,MODERATE
Sikkim,35.0,269.4,591.8,2529.0,70.2,35.6,21.2,2.21,0.187,63.9,1,MODERATE
Sikkim,47.8,57.2,163.9,1609.0,36.7,10.6,41.4,2.48,0.12,51.4,1,MODERATE
Sikkim,31.8,327.6,709.1,2826.0,79.4,43.4,11.1,2.56,0.226,69.2,1,MODERATE
Sikkim,44.6,73.3,190.7,2756.0,32.2,8.8,58.8,2.24,0.145,53.0,1,MODERATE
Arunachal Pradesh,55.3,117.2,335.4,2932.0,50.9,18.8,6.0,2.09,0.179,54.1,1,MODERATE
Sikkim,43.8,277.7,588.9,1416.0,68.9,32.4,22.8,2.31,0.237,64.9,1,MODERATE
Meghalaya,16.7,498.5,1349.5,1071.0,98.0,71.2,38.6,2.01,0.229,88.3,2,HIGH
Meghalaya,36.0,80.9,197.6,1170.0,44.5,20.7,21.8,2.13,0.166,42.6,1,MODERATE
Meghalaya,26.9,107.4,252.3,879.0,47.9,18.5,33.1,2.05,0.138,42.2,1,MODERATE
Sikkim,47.0,400.7,960.0,2111.0,86.0,54.4,30.9,2.39,0.267,86.4,2,HIGH
Sikkim,41.6,215.0,526.4,2737.0,59.6,26.4,42.8,2.29,0.186,64.6,1,MODERATE
Meghalaya,28.9,66.2,167.7,749.0,44.1,12.4,24.7,2.28,0.1,34.5,0,LOW
Sikkim,40.7,384.0,973.9,1757.0,84.9,52.8,27.2,2.44,0.236,82.2,2,HIGH
Arunachal Pradesh,51.4,256.9,444.6,1849.0,64.1,30.8,36.8,1.87,0.261,74.4,2,HIGH
Sikkim,45.4,34.0,151.7,2303.0,37.5,10.6,14.3,2.56,0.146,39.7,0,LOW
Arunachal Pradesh,25.4,169.0,350.5,1932.0,46.0,15.8,43.6,1.96,0.149,52.8,1,MODERATE
Arunachal Pradesh,38.3,43.3,163.9,1971.0,35.0,5.0,28.9,1.93,0.123,39.6,0,LOW
Sikkim,45.1,174.8,451.1,2439.0,51.6,16.3,37.2,2.56,0.172,59.6,1,MODERATE
Meghalaya,33.1,220.8,348.2,1329.0,56.1,21.6,41.0,2.21,0.182,64.0,1,MODERATE
Arunachal Pradesh,40.0,266.2,469.1,283.0,68.5,32.7,25.4,1.72,0.207,61.1,1,MODERATE
Arunachal Pradesh,38.0,129.3,251.8,590.0,46.3,17.0,24.9,1.89,0.161,47.0,1,MODERATE
Meghalaya,49.4,172.9,511.9,801.0,58.8,17.2,21.3,2.22,0.214,59.9,1,MODERATE
Sikkim,39.3,352.5,865.7,2113.0,77.3,44.8,51.2,2.42,0.242,78.2,2,HIGH
Meghalaya,30.5,351.9,771.7,1592.0,81.5,50.5,28.2,2.25,0.205,68.3,1,MODERATE
Meghalaya,31.6,307.8,606.5,1482.0,74.0,44.0,42.0,2.05,0.194,71.5,2,HIGH
Meghalaya,38.8,267.4,465.1,1534.0,62.8,27.0,36.7,2.2,0.205,59.5,1,MODERATE
Sikkim,35.3,327.1,680.7,2086.0,80.4,47.1,59.0,2.36,0.228,83.6,2,HIGH
Sikkim,54.9,108.2,237.8,1990.0,47.8,6.0,40.6,2.57,0.193,58.3,1,MODERATE
Meghalaya,16.1,482.2,1085.2,1138.0,97.2,73.5,35.7,2.21,0.218,91.6,2,HIGH
Sikkim,33.7,323.8,858.1,2579.0,79.9,49.0,12.6,2.4,0.209,65.9,1,MODERATE
Arunachal Pradesh,25.8,126.7,329.1,1931.0,46.0,14.6,49.6,1.8,0.103,46.7,1,MODERATE
Arunachal Pradesh,38.3,122.8,241.5,2610.0,46.5,16.0,53.0,1.83,0.126,52.7,1,MODERATE
Meghalaya,22.7,37.8,103.5,1287.0,38.1,6.4,41.9,2.18,0.094,42.1,1,MODERATE
Arunachal Pradesh,33.0,275.6,769.5,1858.0,67.2,31.5,46.1,1.81,0.158,65.2,1,MODERATE
Arunachal Pradesh,52.2,278.4,533.8,508.0,70.9,33.3,55.6,2.06,0.224,87.1,2,HIGH
Arunachal Pradesh,33.1,285.4,543.1,1281.0,72.5,35.5,21.6,2.02,0.195,65.9,1,MODERATE
Meghalaya,28.2,516.3,1228.8,355.0,98.0,72.1,40.8,2.27,0.254,94.5,2,HIGH
Meghalaya,48.8,423.4,1215.4,687.0,95.6,67.1,37.3,2.14,0.283,93.9,2,HIGH
Sikkim,32.9,277.4,698.0,2746.0,71.9,32.3,29.6,2.49,0.213,65.5,1,MODERATE
Arunachal Pradesh,54.0,93.7,272.7,1086.0,45.9,10.8,44.1,1.83,0.163,60.5,1,MODERATE
Arunachal Pradesh,31.6,339.9,648.4,374.0,77.3,39.5,19.2,2.03,0.208,63.2,1,MODERATE
Meghalaya,40.8,195.0,549.1,1242.0,65.3,27.8,31.4,2.09,0.172,60.5,1,MODERATE
Sikkim,51.0,76.9,147.4,1728.0,41.1,15.2,26.1,2.35,0.176,50.9,1,MODERATE
Sikkim,47.6,243.3,675.7,1724.0,65.0,27.9,69.0,2.57,0.208,87.6,2,HIGH
Sikkim,47.5,257.1,743.0,2155.0,74.6,43.4,52.3,2.28,0.24,82.9,2,HIGH
Meghalaya,36.8,434.1,979.5,1354.0,87.3,60.3,33.0,2.1,0.269,87.5,2,HIGH
Meghalaya,46.2,395.1,607.8,310.0,79.2,51.2,25.6,2.21,0.267,75.7,2,HIGH
Meghalaya,48.7,349.1,1005.8,1011.0,82.8,45.6,44.0,2.19,0.264,86.2,2,HIGH
Meghalaya,49.3,440.4,1169.8,1549.0,96.2,69.8,24.6,2.24,0.294,95.8,2,HIGH
Sikkim,49.0,168.5,438.2,2915.0,54.7,21.1,67.5,2.32,0.194,64.7,1,MODERATE
Meghalaya,20.7,319.5,837.4,316.0,72.7,39.0,16.8,2.34,0.169,61.9,1,MODERATE
Meghalaya,23.6,233.5,629.3,1472.0,65.1,31.0,25.6,2.19,0.142,55.9,1,MODERATE
Arunachal Pradesh,55.3,362.1,834.5,2563.0,84.0,46.3,37.5,1.8,0.279,80.3,2,HIGH
Sikkim,49.5,119.2,346.8,2423.0,46.9,9.8,45.4,2.43,0.147,55.8,1,MODERATE
Sikkim,37.3,167.7,520.9,2807.0,61.9,24.9,32.8,2.4,0.177,53.6,1,MODERATE
Meghalaya,25.3,334.7,538.5,774.0,77.6,41.8,23.2,2.04,0.213,68.0,1,MODERATE
Arunachal Pradesh,52.2,203.2,429.5,1070.0,58.1,24.7,45.9,1.94,0.215,65.0,1,MODERATE
Meghalaya,49.1,139.8,286.6,600.0,54.6,22.2,41.0,2.17,0.168,55.9,1,MODERATE
Meghalaya,23.8,163.9,291.8,1599.0,46.9,12.8,37.1,2.22,0.127,44.6,1,MODERATE
Sikkim,44.2,306.6,565.8,2251.0,74.8,35.1,37.7,2.5,0.233,73.0,2,HIGH
Meghalaya,21.0,535.4,1107.1,534.0,98.0,74.6,3.4,2.02,0.244,85.0,2,HIGH
Meghalaya,45.0,391.6,996.2,1531.0,78.5,43.8,24.7,2.29,0.257,79.5,2,HIGH
Sikkim,30.3,304.4,880.4,1623.0,80.3,48.0,36.4,2.59,0.197,70.7,2,HIGH
Sikkim,42.5,76.2,269.3,2914.0,44.1,11.5,50.1,2.47,0.122,57.3,1,MODERATE
Arunachal Pradesh,47.2,305.8,589.1,1915.0,72.8,35.3,29.2,1.84,0.209,74.6,2,HIGH
Meghalaya,45.7,340.9,630.1,409.0,81.9,44.9,13.0,2.15,0.237,74.3,2,HIGH
Sikkim,40.9,322.9,527.3,1697.0,74.8,39.4,23.3,2.27,0.26,69.7,1,MODERATE
Arunachal Pradesh,44.2,89.6,205.9,2016.0,49.8,16.5,38.4,1.92,0.144,52.3,1,MODERATE
Sikkim,32.0,59.5,193.3,1366.0,46.1,17.7,41.7,2.31,0.136,42.6,1,MODERATE
Meghalaya,38.5,329.3,730.8,303.0,85.8,50.6,11.8,2.38,0.197,76.4,2,HIGH
Meghalaya,29.3,28.2,90.1,885.0,34.0,8.5,40.6,2.08,0.085,37.5,0,LOW
Sikkim,32.2,344.8,965.7,2123.0,83.5,45.8,42.9,2.48,0.227,74.2,2,HIGH
Meghalaya,45.7,411.5,611.4,579.0,80.8,44.4,15.8,2.29,0.304,83.6,2,HIGH
Arunachal Pradesh,37.3,136.6,397.2,1681.0,54.6,17.8,26.1,1.91,0.178,46.7,1,MODERATE
Meghalaya,47.2,329.8,739.0,779.0,78.6,46.3,49.1,2.25,0.265,79.5,2,HIGH
Arunachal Pradesh,41.5,210.3,401.8,1458.0,65.2,29.2,44.4,1.94,0.178,55.6,1,MODERATE
Sikkim,37.3,308.1,474.8,2863.0,71.2,32.5,48.9,2.58,0.233,79.6,2,HIGH
Sikkim,47.8,73.1,163.6,1650.0,52.3,21.7,26.6,2.34,0.174,53.8,1,MODERATE
Sikkim,35.6,345.6,918.7,1872.0,78.2,41.4,24.6,2.56,0.23,66.3,1,MODERATE
Meghalaya,38.7,464.1,1270.1,871.0,95.7,69.1,33.0,2.07,0.251,91.6,2,HIGH
Meghalaya,40.9,477.4,1089.1,686.0,90.6,62.0,35.6,2.35,0.288,91.0,2,HIGH
Arunachal Pradesh,42.1,236.8,427.0,1373.0,59.5,21.8,68.9,1.92,0.173,64.0,1,MODERATE
